metascore,name,console,userscore,date
97,Grand Theft Auto V,PS3,8.3,"Sep 17, 2013"
97,Grand Theft Auto V,X360,8.3,"Sep 17, 2013"
94,BioShock Infinite,PS3,8.5,"Mar 26, 2013"
94,BioShock Infinite,PC,8.6,"Mar 25, 2013"
93,BioShock Infinite,X360,8.5,"Mar 26, 2013"
92,Fire Emblem: Awakening,3DS,9.1,"Feb 4, 2013"
91,The Legend of Zelda: A Link Between Worlds,3DS,9,"Nov 22, 2013"
90,Brothers: A Tale of Two Sons,PC,8.6,"Sep 3, 2013"
88,FIFA 14,XONE,5.8,"Nov 19, 2013"
88,Animal Crossing: New Leaf,3DS,8.7,"Jun 9, 2013"
87,Tomb Raider,PS3,8.4,"Mar 5, 2013"
87,MLB 13: The Show,PS3,7.9,"Mar 5, 2013"
87,FIFA 14,PS4,6.3,"Nov 12, 2013"
87,Diablo III,X360,6.7,"Sep 3, 2013"
87,NBA 2K14,X360,4.9,"Oct 1, 2013"
86,NBA 2K14,XONE,5.7,"Nov 12, 2013"
86,Saints Row IV,PC,7.4,"Aug 19, 2013"
86,Tomb Raider,X360,8.6,"Mar 5, 2013"
97,Grand Theft Auto V,XONE,7.8,"Nov 18, 2014"
86,Brothers: A Tale of Two Sons,X360,8.7,"Aug 7, 2013"
86,Tomb Raider,PC,8.5,"Mar 4, 2013"
86,DmC: Devil May Cry,X360,5.1,"Jan 15, 2013"
86,Diablo III,PS3,6.4,"Sep 3, 2013"
86,FIFA 14,PS3,4.3,"Sep 24, 2013"
97,Grand Theft Auto V,PS4,8.3,"Nov 18, 2014"
91,Dark Souls II,X360,7.9,"Mar 11, 2014"
91,Dark Souls II,PC,7.2,"Apr 24, 2014"
91,Dark Souls II,PS3,8.1,"Mar 11, 2014"
86,Luigi's Mansion: Dark Moon,3DS,8.5,"Mar 24, 2013"
85,Ni no Kuni: Wrath of the White Witch,PS3,8.7,"Jan 22, 2013"
85,Battlefield 4,PS4,7,"Nov 12, 2013"
85,NBA 2K14,PS4,6.5,"Nov 12, 2013"
90,Shovel Knight,3DS,8.3,"Jun 26, 2014"
89,Dragon Age: Inquisition,PS4,7.4,"Nov 18, 2014"
88,Mario Kart 8,WIIU,8.9,"May 30, 2014"
85,DmC: Devil May Cry,PC,6.8,"Jan 24, 2013"
85,Brothers: A Tale of Two Sons,PS3,8.6,"Sep 3, 2013"
85,Football Manager 2014,PC,5.6,"Oct 30, 2013"
88,Shovel Knight,WIIU,8.4,"Jun 26, 2014"
85,Terraria,VITA,8,"Dec 17, 2013"
85,DmC: Devil May Cry,PS3,5.4,"Jan 15, 2013"
84,NBA 2K14,PS3,5,"Oct 1, 2013"
87,Divinity: Original Sin,PC,8.7,"Jan 17, 2014"
87,World of Warcraft: Warlords of Draenor,PC,5.9,"Nov 13, 2014"
86,Final Fantasy X / X-2 HD Remaster,VITA,8.9,"Mar 18, 2014"
84,FIFA 14,X360,4.2,"Sep 24, 2013"
84,Tom Clancy's Splinter Cell: Blacklist,PS3,7.7,"Aug 20, 2013"
86,Forza Horizon 2,XONE,8.3,"Sep 30, 2014"
85,The Talos Principle,PC,8.5,"Dec 11, 2014"
85,Dragon Age: Inquisition,PC,5.9,"Nov 18, 2014"
85,South Park: The Stick of Truth,PC,8.6,"Mar 4, 2014"
85,Dragon Age: Inquisition,XONE,7,"Nov 18, 2014"
85,Shovel Knight,PC,8,"Jun 26, 2014"
85,Final Fantasy X / X-2 HD Remaster,PS3,8.7,"Mar 18, 2014"
85,Assetto Corsa,PC,8.4,"Dec 19, 2014"
85,Halo: The Master Chief Collection,XONE,7.4,"Nov 11, 2014"
85,South Park: The Stick of Truth,PS3,8.5,"Mar 4, 2014"
85,Far Cry 4,PS4,7.7,"Nov 18, 2014"
84,Child of Light,WIIU,8.5,"Apr 29, 2014"
84,Ultra Street Fighter IV,X360,6.9,"Jun 3, 2014"
83,BlazBlue: Chrono Phantasma,PS3,8.3,"Mar 25, 2014"
83,Ultra Street Fighter IV,PS3,7.5,"Jun 3, 2014"
83,Persona Q: Shadow of the Labyrinth,3DS,6.5,"Nov 25, 2014"
94,God of War,PS4,9.2,"Apr 20, 2018"
91,Shadow of the Colossus,PS4,8.5,"Feb 6, 2018"
88,Ikaruga,Switch,7.8,"May 29, 2018"
96,Batman: Arkham City,PS3,8.7,"Oct 18, 2011"
96,The Elder Scrolls V: Skyrim,X360,8.5,"Nov 11, 2011"
94,Batman: Arkham City,X360,8.7,"Oct 18, 2011"
94,The Elder Scrolls V: Skyrim,PC,8.2,"Nov 10, 2011"
94,Mass Effect 2,PS3,8.5,"Jan 17, 2011"
